UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601247688.2,1550.08145,1601247688.74,0.538,17.62
1601247698.2,1550.08036,1601247698.59,0.388,17.56
1601247708.2,1550.07986,1601247708.45,0.248,17.46
1601247718.2,1550.07854,1601247718.3,0.098,17.4
1601247728.2,1550.07848,1601247728.14,-0.062,17.38
1601247738.2,1550.07888,1601247737.99,-0.212,17.34
1601247748.2,1550.07706,1601247747.85,-0.352,17.3
1601247758.2,1550.07732,1601247757.7,-0.502,17.3
1601247768.2,1550.07729,1601247768.65,0.448,17.24
1601247778.2,1550.07681,1601247778.5,0.298,17.21
1601247788.2,1550.07133,1601247788.35,0.148,16.92
1601247798.2,1550.05807,1601247798.2,-0.002,16.05
1601247808.2,1550.04668,1601247808.06,-0.142,15.17
1601247818.2,1550.03753,1601247817.91,-0.292,14.35
1601247828.2,1550.02816,1601247827.75,-0.452,13.6
1601247838.2,1550.02139,1601247838.7,0.498,12.75
1601247848.2,1550.01263,1601247848.55,0.348,11.99
1601247858.2,1550.00407,1601247858.41,0.208,11.23
1601247868.2,1549.99459,1601247868.26,0.058,10.38
1601247878.2,1549.98828,1601247878.11,-0.092,9.75
1601247888.2,1549.98315,1601247887.96,-0.242,9.23
1601247898.2,1549.97792,1601247897.8,-0.402,8.75
1601247908.2,1549.97312,1601247908.75,0.548,8.23
1601247918.2,1549.96668,1601247918.58,0.378,7.58
1601247928.2,1549.96286,1601247928.42,0.218,7.15
1601247938.2,1549.96257,1601247938.26,0.058,6.95
1601247948.2,1549.96284,1601247948.1,-0.102,6.87
1601247958.2,1549.9632,1601247957.94,-0.262,6.89
1601247968.2,1549.96268,1601247967.78,-0.422,6.86
1601247978.2,1549.96123,1601247978.71,0.508,6.72
1601247988.2,1549.95924,1601247988.55,0.348,6.51
1601247998.2,1549.95782,1601247998.39,0.188,6.35
1601248008.2,1549.9564,1601248008.23,0.028,6.26
1601248018.2,1549.95685,1601248018.08,-0.122,6.2
1601248028.2,1549.95614,1601248027.91,-0.292,6.13
1601248038.2,1549.95594,1601248037.75,-0.452,6.13
1601248048.2,1549.95559,1601248048.68,0.478,6.06
1601248058.2,1549.95446,1601248058.52,0.318,5.96
1601248068.2,1549.95369,1601248068.36,0.158,5.88
1601248078.2,1549.95322,1601248078.2,-0.002,5.84
1601248088.2,1549.95287,1601248088.04,-0.162,5.82
1601248098.2,1549.95255,1601248097.88,-0.322,5.82
1601248108.2,1549.95259,1601248107.72,-0.482,5.77
1601248118.2,1549.95116,1601248118.65,0.448,5.74
1601248128.2,1549.95254,1601248128.5,0.298,5.69
1601248138.2,1549.95196,1601248138.33,0.128,5.7
1601248148.2,1549.95109,1601248148.17,-0.032,5.66
1601248158.2,1549.95226,1601248158.02,-0.182,5.68
1601248168.2,1549.95176,1601248167.86,-0.342,5.6
1601248178.2,1549.95107,1601248177.7,-0.502,5.6
1601248188.2,1549.95076,1601248188.62,0.418,5.61
1601248198.2,1549.9515,1601248198.47,0.268,5.63
1601248208.2,1549.95157,1601248208.31,0.108,5.6
1601248218.2,1549.95048,1601248218.15,-0.052,5.56
