UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1537.51479,1601134197.28,0.516,18.78
1601134206.76,1537.51477,1601134207.12,0.356,18.67
1601134216.76,1537.51465,1601134216.95,0.186,18.64
1601134226.76,1537.51297,1601134226.79,0.026,18.61
1601134236.76,1537.51184,1601134236.62,-0.144,18.55
1601134246.76,1537.51238,1601134246.45,-0.314,18.52
1601134256.76,1537.51056,1601134256.29,-0.474,18.45
1601134266.76,1537.51073,1601134267.23,0.466,18.43
1601134276.76,1537.50999,1601134277.06,0.296,18.37
1601134286.76,1537.51039,1601134286.89,0.126,18.39
1601134296.76,1537.50921,1601134296.72,-0.044,18.29
1601134306.76,1537.50626,1601134306.56,-0.204,17.8
1601134316.76,1537.49919,1601134316.4,-0.364,17.0
1601134326.76,1537.49011,1601134326.22,-0.544,16.2
1601134336.76,1537.48238,1601134337.16,0.396,15.34
1601134346.76,1537.47497,1601134346.98,0.216,14.64
1601134356.76,1537.46622,1601134356.82,0.056,13.96
1601134366.76,1537.45926,1601134366.66,-0.104,13.29
1601134376.76,1537.44944,1601134376.49,-0.274,12.45
1601134386.76,1537.44034,1601134386.32,-0.444,11.71
1601134396.76,1537.43281,1601134397.25,0.486,10.87
1601134406.76,1537.42506,1601134407.09,0.326,10.2
1601134416.76,1537.41749,1601134416.92,0.156,9.58
1601134426.76,1537.40967,1601134426.76,-0.004,9.01
1601134436.76,1537.40372,1601134436.58,-0.184,8.41
1601134446.76,1537.39778,1601134446.39,-0.374,7.98
1601134456.76,1537.39318,1601134457.31,0.546,7.69
1601134466.76,1537.3903,1601134467.13,0.366,7.51
1601134476.76,1537.38762,1601134476.94,0.176,7.41
1601134486.76,1537.38673,1601134486.77,0.006,7.33
1601134496.76,1537.38452,1601134496.59,-0.174,7.23
1601134506.76,1537.38264,1601134506.42,-0.344,7.05
1601134516.76,1537.38104,1601134516.23,-0.534,6.91
1601134526.76,1537.37897,1601134527.14,0.376,6.78
1601134536.76,1537.37792,1601134536.97,0.206,6.72
1601134546.76,1537.37655,1601134546.79,0.026,6.69
1601134556.76,1537.37565,1601134556.61,-0.154,6.62
1601134566.76,1537.37612,1601134566.43,-0.334,6.59
1601134576.76,1537.37535,1601134576.25,-0.514,6.54
1601134586.76,1537.37473,1601134587.16,0.396,6.53
1601134596.76,1537.37435,1601134596.99,0.226,6.51
1601134606.76,1537.37488,1601134606.8,0.036,6.49
1601134616.76,1537.37448,1601134616.63,-0.134,6.45
1601134626.76,1537.37384,1601134626.45,-0.314,6.37
1601134636.76,1537.37348,1601134636.27,-0.494,6.39
1601134646.76,1537.37454,1601134647.18,0.416,6.37
1601134656.76,1537.374,1601134657.0,0.236,6.42
1601134666.76,1537.37392,1601134666.83,0.066,6.35
1601134676.76,1537.37295,1601134676.64,-0.124,6.37
1601134686.76,1537.37351,1601134686.48,-0.284,6.39
1601134696.76,1537.37354,1601134696.29,-0.474,6.35
1601134706.76,1537.37328,1601134707.2,0.436,6.28
1601134716.76,1537.37283,1601134717.02,0.256,6.33
1601134726.76,1537.37172,1601134726.84,0.076,6.26
1601134736.76,1537.37197,1601134736.66,-0.104,6.22
1601134746.76,1537.37208,1601134746.48,-0.284,6.19
1601134756.76,1537.37081,1601134756.31,-0.454,6.13
1601134766.76,1537.36981,1601134767.22,0.456,6.11
1601134776.76,1537.37047,1601134777.04,0.276,6.11
1601134786.76,1537.37114,1601134786.85,0.086,6.07
1601134796.76,1537.36938,1601134796.67,-0.094,6.07
1601134806.76,1537.36914,1601134806.5,-0.264,6.04
1601134816.76,1537.3702,1601134816.32,-0.444,6.0
1601134826.76,1537.36948,1601134827.23,0.466,6.0
1601134836.76,1537.36915,1601134837.06,0.296,5.96
1601134846.76,1537.37009,1601134846.87,0.106,6.03
1601134856.76,1537.3697,1601134856.7,-0.064,6.0
1601134866.76,1537.36977,1601134866.52,-0.244,6.01
1601134876.76,1537.3691,1601134876.34,-0.424,5.98
1601134886.76,1537.37084,1601134887.25,0.486,6.06
1601134896.76,1537.37076,1601134897.08,0.316,6.05
1601134906.76,1537.37051,1601134906.89,0.126,6.03
1601134916.76,1537.37026,1601134916.71,-0.054,6.01
1601134926.76,1537.36925,1601134926.53,-0.234,5.98
1601134936.76,1537.36853,1601134936.36,-0.404,6.01
1601134946.76,1537.3691,1601134947.26,0.496,5.96
1601134956.76,1537.36839,1601134957.09,0.326,5.9
1601134966.76,1537.36868,1601134966.91,0.146,5.91
1601134976.76,1537.3676,1601134976.74,-0.024,5.87
1601134986.76,1537.3679,1601134986.56,-0.204,5.83
1601134996.76,1537.3686,1601134996.38,-0.384,5.76
1601135006.76,1537.36615,1601135007.3,0.536,5.79
1601135016.76,1537.36803,1601135017.11,0.346,5.79
1601135026.76,1537.36699,1601135026.93,0.166,5.79
1601135036.76,1537.36769,1601135036.75,-0.014,5.82
1601135046.76,1537.36681,1601135046.57,-0.194,5.75
1601135056.76,1537.3675,1601135056.39,-0.374,5.75
1601135066.76,1537.36591,1601135067.31,0.546,5.73
1601135076.76,1537.36674,1601135077.13,0.366,5.71
1601135086.76,1537.36586,1601135086.95,0.186,5.69
1601135096.76,1537.36601,1601135096.77,0.006,5.63
1601135106.76,1537.36579,1601135106.59,-0.174,5.65
1601135116.76,1537.36628,1601135116.41,-0.354,5.62
1601135126.76,1537.36509,1601135126.24,-0.524,5.58
1601135136.76,1537.3656,1601135137.14,0.376,5.63
1601135146.76,1537.36564,1601135146.97,0.206,5.63
1601135156.76,1537.36536,1601135156.79,0.026,5.62
1601135166.76,1537.36575,1601135166.62,-0.144,5.67
1601135176.76,1537.36607,1601135176.44,-0.324,5.67
1601135186.76,1537.36665,1601135186.26,-0.504,5.71
1601135196.76,1537.36596,1601135197.18,0.416,5.71
1601135206.76,1537.36672,1601135206.99,0.226,5.69
1601135216.76,1537.36612,1601135216.81,0.046,5.64
1601135226.76,1537.36552,1601135226.64,-0.124,5.6
1601135236.76,1537.36551,1601135236.45,-0.314,5.55
1601135246.76,1537.36547,1601135246.28,-0.484,5.53
1601135256.76,1537.36428,1601135257.19,0.426,5.51
1601135266.76,1537.36445,1601135267.01,0.246,5.47
1601135276.76,1537.36306,1601135276.84,0.076,5.45
1601135286.76,1537.36302,1601135286.66,-0.104,5.42
1601135296.76,1537.36417,1601135296.48,-0.284,5.41
1601135306.76,1537.36318,1601135306.31,-0.454,5.36
1601135316.76,1537.36291,1601135317.22,0.456,5.35
1601135326.76,1537.36288,1601135327.04,0.276,5.35
1601135336.76,1537.36125,1601135336.86,0.096,5.37
1601135346.76,1537.36359,1601135346.69,-0.074,5.34
1601135356.76,1537.36266,1601135356.51,-0.254,5.32
1601135366.76,1537.36279,1601135366.33,-0.434,5.36
1601135376.76,1537.36206,1601135377.24,0.476,5.38
1601135386.76,1537.36346,1601135387.06,0.296,5.4
1601135396.76,1537.36194,1601135396.89,0.126,5.42
1601135406.76,1537.36349,1601135406.71,-0.054,5.36
1601135416.76,1537.36204,1601135416.53,-0.234,5.35
1601135426.76,1537.3629,1601135426.36,-0.404,5.33
1601135436.76,1537.3628,1601135437.27,0.506,5.34
1601135446.76,1537.36278,1601135447.09,0.326,5.32
1601135456.76,1537.36318,1601135456.91,0.146,5.32
1601135466.76,1537.36273,1601135466.73,-0.034,5.35
1601135476.76,1537.36205,1601135476.56,-0.204,5.3
1601135486.76,1537.36122,1601135486.38,-0.384,5.22
1601135496.76,1537.36146,1601135497.3,0.536,5.21
1601135506.76,1537.36126,1601135507.11,0.346,5.2
1601135516.76,1537.36196,1601135516.94,0.176,5.16
1601135526.76,1537.36181,1601135526.76,-0.004,5.13
1601135536.76,1537.36128,1601135536.59,-0.174,5.15
1601135546.76,1537.36084,1601135546.41,-0.354,5.12
1601135556.76,1537.3599,1601135556.23,-0.534,5.05
1601135566.76,1537.3604,1601135567.14,0.376,5.03
1601135576.76,1537.35902,1601135576.96,0.196,5.02
1601135586.76,1537.3576,1601135586.79,0.026,5.0
1601135596.76,1537.35804,1601135596.61,-0.154,4.95
1601135606.76,1537.35857,1601135606.43,-0.334,4.93
1601135616.76,1537.35748,1601135616.25,-0.514,4.94
1601135626.76,1537.35847,1601135627.17,0.406,4.97
1601135636.76,1537.35916,1601135636.98,0.216,5.0
1601135646.76,1537.35918,1601135646.81,0.046,4.98
1601135656.76,1537.35855,1601135656.63,-0.134,4.92
1601135666.76,1537.3579,1601135666.46,-0.304,4.88
1601135676.76,1537.35653,1601135676.27,-0.494,4.8
1601135686.76,1537.35706,1601135687.19,0.426,4.79
1601135696.76,1537.35712,1601135697.01,0.246,4.8
1601135706.76,1537.35691,1601135706.84,0.076,4.74
1601135716.76,1537.35622,1601135716.65,-0.114,4.74
1601135726.76,1537.35624,1601135726.48,-0.284,4.7
1601135736.76,1537.35654,1601135736.3,-0.464,4.69
1601135746.76,1537.35655,1601135747.21,0.446,4.71
1601135756.76,1537.35603,1601135757.04,0.276,4.76
1601135766.76,1537.35659,1601135766.86,0.096,4.7
1601135776.76,1537.35512,1601135776.68,-0.084,4.71
1601135786.76,1537.35537,1601135786.5,-0.264,4.72
1601135796.76,1537.35651,1601135796.33,-0.434,4.72
1601135806.76,1537.35745,1601135807.24,0.476,4.74
1601135816.76,1537.35514,1601135817.06,0.296,4.73
1601135826.76,1537.35638,1601135826.88,0.116,4.71
1601135836.76,1537.35456,1601135836.71,-0.054,4.64
1601135846.76,1537.35591,1601135846.53,-0.234,4.63
1601135856.76,1537.35499,1601135856.35,-0.414,4.66
1601135866.76,1537.35676,1601135867.26,0.496,4.7
1601135876.76,1537.35638,1601135877.08,0.316,4.65
1601135886.76,1537.35514,1601135886.91,0.146,4.64
1601135896.76,1537.35512,1601135896.74,-0.024,4.65
1601135906.76,1537.35562,1601135906.55,-0.214,4.64
1601135916.76,1537.35562,1601135916.39,-0.374,4.61
1601135926.76,1537.3555,1601135927.29,0.526,4.61
1601135936.76,1537.35534,1601135937.11,0.346,4.61
1601135946.76,1537.35538,1601135946.94,0.176,4.61
1601135956.76,1537.35411,1601135956.76,-0.004,4.61
